Date,Hour,Temperature
2020-09-15,00,302.05
2020-09-15,01,298.58
2020-09-15,02,296.5
2020-09-15,03,294.32
2020-09-15,04,292.28
2020-09-15,05,291.53
2020-09-15,06,290.48
2020-09-15,07,289.92
2020-09-15,08,288.26
2020-09-15,09,287.77
2020-09-15,10,287.24
2020-09-15,11,286.66
2020-09-15,12,286.52
2020-09-15,13,286.7
2020-09-15,14,288.29
2020-09-15,15,291.6
2020-09-15,16,295.24
2020-09-15,17,298.72
2020-09-15,18,301.17
2020-09-15,19,302.33
2020-09-15,20,302.83
2020-09-15,21,302.89
2020-09-15,22,302.55
2020-09-15,23,302.16
2020-09-14,00,300.54
2020-09-14,01,298.12
2020-09-14,02,293.43
2020-09-14,03,291.26
2020-09-14,04,290.01
2020-09-14,05,289.1
2020-09-14,06,288.4
2020-09-14,07,288.45
2020-09-14,08,287.59
2020-09-14,09,286.91
2020-09-14,10,286.48
2020-09-14,11,285.45
2020-09-14,12,285.34
2020-09-14,13,285.39
2020-09-14,14,286.55
2020-09-14,15,291.04
2020-09-14,16,294.06
2020-09-14,17,297.21
2020-09-14,18,299.87
2020-09-14,19,301.52
2020-09-14,20,302.97
2020-09-14,21,303.33
2020-09-14,22,303.48
2020-09-14,23,303.05
2020-09-13,00,298.24
2020-09-13,01,296.33
2020-09-13,02,292.12
2020-09-13,03,290.38
2020-09-13,04,288.78
2020-09-13,05,287.11
2020-09-13,06,285.91
2020-09-13,07,285
2020-09-13,08,284.11
2020-09-13,09,283.84
2020-09-13,10,283.29
2020-09-13,11,283.02
2020-09-13,12,283.27
2020-09-13,13,282.97
2020-09-13,14,285.41
2020-09-13,15,290.03
2020-09-13,16,293.14
2020-09-13,17,296.79
2020-09-13,18,299.04
2020-09-13,19,300.37
2020-09-13,20,300.94
2020-09-13,21,301.55
2020-09-13,22,301.7
2020-09-13,23,301.51
2020-09-12,00,291.44
2020-09-12,01,289.92
2020-09-12,02,286.93
2020-09-12,03,285.38
2020-09-12,04,284.88
2020-09-12,05,283.5
2020-09-12,06,283.5
2020-09-12,07,283.02
2020-09-12,08,282.79
2020-09-12,09,282.23
2020-09-12,10,281.43
2020-09-12,11,280.86
2020-09-12,12,280.46
2020-09-12,13,280.63
2020-09-12,14,283.7
2020-09-12,15,288.33
2020-09-12,16,291.41
2020-09-12,17,295.63
2020-09-12,18,296.93
2020-09-12,19,297.96
2020-09-12,20,298.52
2020-09-12,21,299.07
2020-09-12,22,299.29
2020-09-12,23,299.04
2020-09-11,00,283.76
2020-09-11,01,282.94
2020-09-11,02,282.11
2020-09-11,03,281.69
2020-09-11,04,281.08
2020-09-11,05,281.19
2020-09-11,06,281.05
2020-09-11,07,280.87
2020-09-11,08,279.55
2020-09-11,09,278.24
2020-09-11,10,277.6
2020-09-11,11,276.91
2020-09-11,12,276.74
2020-09-11,13,276.55
2020-09-11,14,278.79
2020-09-11,15,282.59
2020-09-11,16,284.99
2020-09-11,17,288.18
2020-09-11,18,290.09
2020-09-11,19,291.24
2020-09-11,20,292.86
2020-09-11,21,293.31
2020-09-11,22,292.72
2020-09-11,23,291.72
